"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"UniRef90_D7K7P3|g__Bacteroides.s__Bacteroides_ovatus"	"sick"	"CC"	"sickCC"	-4.35393057960515	-1.57857971460668	2.36441206432977	0.253833688963922	0.409896417416406	0.0124476570341945	0.07322151196585	NA	"abundance"	37	24
"UniRef90_A0A174WHN0"	"sick"	"CC"	"sickCC"	1.09093425594359	0	1.08770413599015	0.315875496441445	0.451613159570901	3.40087883509433e-05	0.00136035153403773	NA	"prevalence"	37	28
"UniRef90_A0A0E1X896|g__Blautia.s__Blautia_obeum"	"sick"	"CC"	"sickCC"	2.84806343132774	0	2.92584063994314	0.330346023049536	0.459387438303264	5.02049129941158e-06	0.000439907475631084	NA	"prevalence"	37	32
"UniRef90_A5ZYV3"	"sick"	"CC"	"sickCC"	2.84806343132774	0	2.92584063994314	0.330346023049536	0.459387438303264	8.11959846214308e-06	0.000439907475631084	NA	"prevalence"	37	32
"UniRef90_A5ZYV3|g__Blautia.s__Blautia_obeum"	"sick"	"CC"	"sickCC"	2.84806343132774	0	2.92584063994314	0.330346023049536	0.459387438303264	8.79814951262168e-06	0.000439907475631084	NA	"prevalence"	37	32
"UniRef90_V0SIR0"	"sick"	"CC"	"sickCC"	-2.8601015711306	-1.57857971460668	1.33988155330509	0.35149817620456	0.482467075012272	0.00683280760750888	0.0455520507167259	NA	"abundance"	37	31
"UniRef90_V0SIR0|g__Escherichia.s__Escherichia_coli"	"sick"	"CC"	"sickCC"	-2.8601015711306	-1.57857971460668	1.33988155330509	0.352363594110086	0.482467075012272	0.00683280760750888	0.0455520507167259	NA	"abundance"	37	31
"UniRef90_A0A0E1X896"	"sick"	"CC"	"sickCC"	2.6004699287049	0	2.93278950028982	0.375246777324563	0.51045445147046	7.12117772552037e-06	0.000439907475631084	NA	"prevalence"	37	33
"UniRef90_A0A174IWH6"	"sick"	"CC"	"sickCC"	0.915928153890215	0	1.09406632674147	0.402492575869228	0.521458853246524	9.64754307258298e-05	0.00292358109169562	NA	"prevalence"	37	29
"UniRef90_A0A174IWH6|g__Prevotella.s__Prevotella_copri"	"sick"	"CC"	"sickCC"	0.915928153890215	0	1.09406632674147	0.402492575869228	0.521458853246524	0.000102325338209347	0.00292358109169562	NA	"prevalence"	37	29
"UniRef90_A0A174IYG9"	"sick"	"CC"	"sickCC"	0.915928153890215	0	1.09406632674147	0.402492575869228	0.521458853246524	0.000426328601001011	0.00568438134668015	NA	"prevalence"	37	29
"UniRef90_A0A174IYG9|g__Prevotella.s__Prevotella_copri"	"sick"	"CC"	"sickCC"	0.915928153890215	0	1.09406632674147	0.402492575869228	0.521458853246524	0.000406758719590236	0.00568438134668015	NA	"prevalence"	37	29
"UniRef90_A0A174PA28"	"sick"	"CC"	"sickCC"	0.915928153890215	0	1.09406632674147	0.402492575869228	0.521458853246524	0.00195325540602787	0.0177568673275261	NA	"prevalence"	37	29
"UniRef90_A0A174PA28|g__Prevotella.s__Prevotella_copri"	"sick"	"CC"	"sickCC"	0.915928153890215	0	1.09406632674147	0.402492575869228	0.521458853246524	0.00191594807130029	0.0177568673275261	NA	"prevalence"	37	29
