"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis"	"sick"	"SM"	"sickSM"	2.79190197946102	-0.188134188687466	0.584299646749377	1.77132809597857e-05	0.0122044505812924	3.54262481592491e-05	0.0123283343594187	NA	"abundance"	37	34
"d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia coli"	"sick"	"SM"	"sickSM"	2.93166432715875	-0.188134188687466	0.713346580246012	0.000128177328371115	0.0441570896238492	0.000256338227314722	0.0446028515527616	NA	"abundance"	37	35
"d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira sp000436475"	"sick"	"SM"	"sickSM"	-3.61708051512778	0	1.03446564396698	0.00047128257279591	0.0811784231640969	0.000942343038328399	0.0819838443345721	NA	"prevalence"	37	9
"d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__Lawsonibacter|s__Lawsonibacter sp900549405"	"sick"	"SM"	"sickSM"	-3.61708051512777	0	1.03446564396698	0.000471282572795918	0.0811784231640969	0.000942343038328415	0.0819838443345721	NA	"prevalence"	37	9
"d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__Lawsonibacter|s__Lawsonibacter sp900549405"	"sick"	"SM"	"sickSM"	1.37404991533356	-0.188134188687466	0.654082294072261	0.0499057899597566	0.305431038755913	0.000942343038328415	0.0819838443345721	NA	"abundance"	37	9
"d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia coli"	"sick"	"SM"	"sickSM"	3.10653337034208	0	1.81379332334303	0.0867627173358812	0.321395227120549	0.000256338227314722	0.0446028515527616	NA	"prevalence"	37	35
"d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira sp000436475"	"sick"	"SM"	"sickSM"	2.11686557942015	-0.188134188687466	1.36157705292168	0.134582225121378	0.404086659419216	0.000942343038328399	0.0819838443345721	NA	"abundance"	37	9
"d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis"	"sick"	"SM"	"sickSM"	-2.30098637162915	0	2.94401814812701	0.434461311222178	0.675719736867	3.54262481592491e-05	0.0123283343594187	NA	"prevalence"	37	34
